Model Training Results - 2025-10-15 20:23:00
================================================================================


GIN Training History
============================================================

Best Validation AUC: 0.8312
Total Epochs Trained: 90
Early Stopping Best Score: 0.7182 (Hits@10 at epoch 80)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        0.6185         0.7148       0.0883       0.2371       0.3507      
2        0.5300         0.7587       0.1140       0.2874       0.4171      
3        0.5043         0.7716       0.1213       0.3130       0.4487      
4        0.4798         0.7641       0.1346       0.3380       0.4776      
5        0.4663         0.7676       0.1330       0.3588       0.4982      
6        0.4578         0.7799       0.1528       0.3868       0.5280      
7        0.4515         0.7876       0.1656       0.4214       0.5564      
8        0.4444         0.7939       0.1721       0.4328       0.5727      
9        0.4393         0.8018       0.1900       0.4443       0.5868      
10       0.4382         0.7933       0.1823       0.4319       0.5712      
11       0.4389         0.8070       0.1969       0.4530       0.5962      
12       0.4325         0.7876       0.1861       0.4491       0.5864      
13       0.4316         0.7938       0.1922       0.4529       0.5985      
14       0.4331         0.8127       0.2011       0.4784       0.6234      
15       0.4295         0.7979       0.1941       0.4583       0.6045      
16       0.4271         0.8058       0.2116       0.4807       0.6129      
17       0.4261         0.8171       0.2225       0.4998       0.6309      
18       0.4247         0.8057       0.2032       0.4827       0.6213      
19       0.4242         0.8256       0.2156       0.4898       0.6388      
20       0.4202         0.8029       0.2156       0.4992       0.6333      
21       0.4218         0.8098       0.2226       0.5016       0.6318      
22       0.4196         0.8108       0.2357       0.5028       0.6417      
23       0.4183         0.8145       0.2248       0.5086       0.6351      
24       0.4187         0.8089       0.2246       0.4997       0.6407      
25       0.4195         0.8036       0.2179       0.5021       0.6320      
26       0.4163         0.8069       0.2235       0.5105       0.6506      
27       0.4154         0.8163       0.2441       0.5143       0.6505      
28       0.4167         0.7984       0.2287       0.5096       0.6358      
29       0.4148         0.8120       0.2368       0.5244       0.6544      
30       0.4138         0.8074       0.2254       0.5112       0.6547      
31       0.4126         0.8007       0.2375       0.5252       0.6500      
32       0.4132         0.8050       0.2399       0.5186       0.6483      
33       0.4113         0.8098       0.2469       0.5321       0.6630      
34       0.4107         0.7989       0.2345       0.5244       0.6490      
35       0.4133         0.8206       0.2516       0.5422       0.6744      
36       0.4090         0.8033       0.2454       0.5305       0.6562      
37       0.4081         0.8144       0.2480       0.5412       0.6727      
38       0.4091         0.8108       0.2620       0.5437       0.6716      
39       0.4079         0.8138       0.2637       0.5452       0.6660      
40       0.4067         0.8168       0.2523       0.5452       0.6719      
41       0.4082         0.8060       0.2587       0.5448       0.6663      
42       0.4074         0.8204       0.2605       0.5470       0.6674      
43       0.4059         0.8091       0.2601       0.5494       0.6777      
44       0.4065         0.8097       0.2581       0.5545       0.6818      
45       0.4047         0.8132       0.2574       0.5552       0.6772      
46       0.4049         0.8222       0.2658       0.5659       0.6872      
47       0.4055         0.8137       0.2647       0.5646       0.6806      
48       0.4038         0.8030       0.2579       0.5616       0.6755      
49       0.4052         0.8068       0.2670       0.5610       0.6778      
50       0.4038         0.8265       0.2783       0.5747       0.6940      
51       0.4048         0.8123       0.2694       0.5565       0.6777      
52       0.4039         0.8296       0.2831       0.5796       0.6984      
53       0.4024         0.8172       0.2826       0.5747       0.6917      
54       0.4039         0.8150       0.2760       0.5723       0.6884      
55       0.4023         0.8164       0.2835       0.5806       0.6953      
56       0.4029         0.8097       0.2792       0.5694       0.6758      
57       0.4019         0.8154       0.2841       0.5684       0.6885      
58       0.4023         0.8164       0.2879       0.5748       0.6889      
59       0.4044         0.8193       0.2856       0.5719       0.6829      
60       0.4015         0.8081       0.2892       0.5742       0.6867      
61       0.4012         0.8171       0.2805       0.5840       0.6987      
62       0.3995         0.8139       0.2797       0.5888       0.7017      
63       0.4025         0.8117       0.2813       0.5789       0.6936      
64       0.4007         0.8153       0.2996       0.5949       0.6978      
65       0.4024         0.8246       0.2989       0.5928       0.7101      
66       0.4008         0.8184       0.2769       0.5822       0.6969      
67       0.3986         0.8181       0.2947       0.5862       0.7019      
68       0.4011         0.8209       0.2963       0.5931       0.7032      
69       0.3986         0.8178       0.2919       0.5865       0.7014      
70       0.3976         0.8157       0.2844       0.5844       0.7030      
71       0.4013         0.8207       0.2917       0.5903       0.7072      
72       0.4008         0.8203       0.2945       0.5943       0.7060      
73       0.3978         0.8312       0.3059       0.6002       0.7164      
74       0.3970         0.8157       0.2965       0.5921       0.7029      
75       0.3997         0.8143       0.2886       0.5878       0.6999      
76       0.3997         0.8233       0.2896       0.5977       0.7062      
77       0.4001         0.8180       0.2971       0.5926       0.7024      
78       0.3962         0.8197       0.3078       0.6089       0.7113      
79       0.3993         0.8223       0.2961       0.5949       0.7075      
80       0.3988         0.8274       0.3088       0.6070       0.7182      
81       0.3966         0.8173       0.2922       0.6002       0.7108      
82       0.3979         0.8228       0.2953       0.5992       0.7081      
83       0.3953         0.8229       0.3013       0.6033       0.7113      
84       0.3967         0.8228       0.3037       0.5966       0.7104      
85       0.3955         0.8185       0.3032       0.5966       0.7124      
86       0.3980         0.8154       0.2953       0.5944       0.7022      
87       0.3983         0.8176       0.3077       0.5850       0.6950      
88       0.3987         0.8219       0.2996       0.5943       0.7058      
89       0.3970         0.8129       0.2935       0.5849       0.6969      
90       0.3957         0.8154       0.2897       0.5967       0.7048      
