Model Training Results - 2025-10-16 09:52:42
================================================================================


GIN Training History
============================================================

Best Validation AUC: 0.8951
Total Epochs Trained: 74
Early Stopping Best Score: 0.6776 (Hits@10 at epoch 64)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
------------------------------------------------------------------------------------------
1        469266.7869    0.5015       0.0000       0.0000       0.0000      
2        73.1544        0.5023       0.0000       0.0000       0.0000      
3        15.9662        0.5027       0.0000       0.0000       0.0000      
4        2.5777         0.5041       0.0000       0.0000       0.0000      
5        18.6498        0.5026       0.0000       0.0000       0.0000      
6        0.6931         0.5034       0.0000       0.0000       0.0000      
7        8.5679         0.6264       0.1001       0.2063       0.2886      
8        0.6387         0.7533       0.1266       0.2567       0.3792      
9        0.5908         0.8150       0.1438       0.3410       0.4844      
10       0.5280         0.8364       0.1664       0.3791       0.5319      
11       0.5110         0.8386       0.1683       0.3987       0.5461      
12       0.5043         0.8469       0.1713       0.4054       0.5550      
13       0.5019         0.8536       0.1890       0.4334       0.5772      
14       0.4980         0.8586       0.1792       0.4272       0.5790      
15       0.4975         0.8616       0.1899       0.4348       0.5802      
16       0.4917         0.8605       0.1864       0.4311       0.5834      
17       0.4956         0.8562       0.1802       0.4314       0.5858      
18       0.4904         0.8671       0.1932       0.4450       0.5944      
19       0.5056         0.7953       0.1625       0.3689       0.5111      
20       0.5493         0.8486       0.1820       0.4136       0.5596      
21       0.4978         0.8619       0.1964       0.4402       0.5880      
22       0.4929         0.8613       0.1812       0.4305       0.5826      
23       0.5070         0.8539       0.1799       0.4282       0.5797      
24       0.4971         0.8635       0.1885       0.4444       0.5918      
25       0.4885         0.8650       0.1965       0.4505       0.6023      
26       0.4859         0.8655       0.1890       0.4443       0.6011      
27       0.4830         0.8690       0.1904       0.4455       0.6050      
28       0.4832         0.8705       0.1927       0.4580       0.6155      
29       0.4790         0.8698       0.1977       0.4649       0.6188      
30       0.4772         0.8715       0.2022       0.4635       0.6213      
31       0.4776         0.8696       0.1902       0.4580       0.6124      
32       0.4780         0.8773       0.2074       0.4765       0.6277      
33       0.4756         0.8718       0.1921       0.4617       0.6188      
34       0.4915         0.8653       0.1823       0.4491       0.6090      
35       0.4925         0.8765       0.2078       0.4770       0.6282      
36       0.4744         0.8784       0.2028       0.4740       0.6280      
37       0.4734         0.8823       0.2188       0.4911       0.6443      
38       0.4722         0.8740       0.2087       0.4792       0.6300      
39       0.4715         0.8782       0.2120       0.4891       0.6404      
40       0.4740         0.8779       0.2016       0.4712       0.6274      
41       0.4961         0.8644       0.1841       0.4475       0.6057      
42       0.4781         0.8768       0.1997       0.4727       0.6292      
43       0.4731         0.8784       0.2065       0.4850       0.6358      
44       0.4715         0.8833       0.2023       0.4798       0.6415      
45       0.4700         0.8791       0.1964       0.4826       0.6414      
46       0.4675         0.8815       0.2121       0.4889       0.6473      
47       0.4674         0.8836       0.2095       0.4900       0.6472      
48       0.4661         0.8835       0.2086       0.4924       0.6498      
49       0.4660         0.8810       0.2007       0.4867       0.6498      
50       0.4682         0.8318       0.1591       0.4027       0.5500      
51       0.4722         0.8750       0.1965       0.4745       0.6362      
52       0.4901         0.8816       0.2056       0.4868       0.6428      
53       0.4646         0.8801       0.2029       0.4844       0.6475      
54       0.4633         0.8802       0.2145       0.4995       0.6546      
55       0.4634         0.8851       0.2192       0.5017       0.6554      
56       0.4633         0.8849       0.2176       0.5050       0.6607      
57       0.4628         0.8886       0.2146       0.5037       0.6603      
58       0.7188         0.8702       0.1963       0.4596       0.6209      
59       0.4747         0.8783       0.1953       0.4770       0.6415      
60       0.4709         0.8845       0.2026       0.4861       0.6486      
61       0.4657         0.8811       0.2078       0.4949       0.6525      
62       0.4630         0.8895       0.2184       0.5056       0.6657      
63       0.4625         0.8909       0.2246       0.5098       0.6672      
64       0.4613         0.8951       0.2214       0.5159       0.6776      
65       0.4596         0.8879       0.2124       0.5002       0.6594      
66       0.4613         0.8891       0.2220       0.5093       0.6656      
67       0.4616         0.8866       0.2022       0.4985       0.6599      
68       0.4617         0.8914       0.2245       0.5109       0.6733      
69       0.4595         0.8885       0.2158       0.5042       0.6630      
70       0.4859         0.8910       0.2177       0.5108       0.6699      
71       0.4611         0.8925       0.2256       0.5181       0.6745      
72       0.4601         0.8911       0.2135       0.5111       0.6687      
73       0.4576         0.8879       0.2188       0.5080       0.6659      
74       0.4607         0.8919       0.2216       0.5115       0.6715      
