Typed Link Prediction: Decoder Comparison - 2025-10-19 00:11:50
================================================================================

R-GIN + DistMult Training History
============================================================

Best Validation AUC: 0.7254
Total Epochs Trained: 447
Early Stopping Best Score: 0.4753 (Hits@10 at epoch 367)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
108      0.3228         0.6843       0.0911       0.2230       0.3681      
109      0.3102         0.6933       0.0550       0.2116       0.3454      
110      0.3059         0.6835       0.1044       0.2400       0.3824      
111      0.3117         0.6839       0.0778       0.2353       0.3634      
112      0.3024         0.6856       0.0693       0.2353       0.3681      
113      0.3039         0.6772       0.0512       0.1954       0.3435      
114      0.2933         0.6828       0.0806       0.2419       0.3558      
115      0.3119         0.6851       0.0550       0.2201       0.3577      
116      0.3082         0.6873       0.0588       0.2059       0.3416      
117      0.3201         0.6795       0.0731       0.2315       0.3653      
118      0.3100         0.6887       0.0759       0.2334       0.3472      
119      0.3000         0.6793       0.0740       0.2467       0.3691      
120      0.3019         0.6896       0.0655       0.2211       0.3605      
121      0.3012         0.6929       0.0797       0.2400       0.3719      
122      0.2920         0.6918       0.0664       0.2125       0.3596      
123      0.2919         0.6791       0.0655       0.2296       0.3757      
124      0.2911         0.6923       0.0825       0.2448       0.3814      
125      0.2909         0.6940       0.0693       0.2324       0.3719      
126      0.2840         0.6769       0.0598       0.2277       0.3634      
127      0.2858         0.6873       0.0588       0.2287       0.3738      
128      0.3081         0.6897       0.0664       0.2400       0.3710      
129      0.2829         0.7005       0.0759       0.2381       0.3871      
130      0.2927         0.6738       0.0626       0.2239       0.3510      
131      0.2860         0.6977       0.0731       0.2419       0.3861      
132      0.2784         0.6982       0.0835       0.2476       0.3890      
133      0.2834         0.6898       0.0721       0.2391       0.3966      
134      0.2799         0.6893       0.0825       0.2400       0.3805      
135      0.2873         0.6957       0.0750       0.2400       0.3729      
136      0.2876         0.6861       0.0769       0.2429       0.3719      
137      0.2975         0.6988       0.0740       0.2552       0.3909      
138      0.2804         0.7039       0.0740       0.2287       0.3738      
139      0.2791         0.6955       0.0721       0.2467       0.3833      
140      0.2939         0.6913       0.0617       0.2220       0.3767      
141      0.2869         0.7023       0.0892       0.2467       0.3871      
142      0.2825         0.7037       0.0854       0.2268       0.3786      
143      0.2827         0.7040       0.0712       0.2457       0.3795      
144      0.2652         0.7029       0.0769       0.2315       0.3748      
145      0.2779         0.6968       0.0769       0.2476       0.3918      
146      0.2788         0.6969       0.0911       0.2581       0.3947      
147      0.2796         0.7098       0.0759       0.2448       0.3814      
148      0.2825         0.7054       0.0939       0.2505       0.3918      
149      0.2755         0.6979       0.0863       0.2448       0.3757      
150      0.2706         0.7071       0.0712       0.2438       0.3738      
151      0.2778         0.6925       0.0636       0.2296       0.3890      
152      0.2666         0.7008       0.0806       0.2457       0.3843      
153      0.2672         0.6950       0.0816       0.2400       0.3776      
154      0.2750         0.6976       0.0778       0.2362       0.3767      
155      0.2696         0.6924       0.0797       0.2647       0.3947      
156      0.2757         0.7055       0.0797       0.2751       0.4156      
157      0.2609         0.6989       0.0825       0.2600       0.3899      
158      0.2596         0.7018       0.0731       0.2619       0.4032      
159      0.2726         0.7021       0.0683       0.2268       0.3843      
160      0.2766         0.7156       0.0787       0.2619       0.3975      
161      0.2742         0.7074       0.0731       0.2429       0.3833      
162      0.2588         0.7101       0.0835       0.2609       0.4089      
163      0.2662         0.6986       0.1053       0.2685       0.4023      
164      0.2707         0.7100       0.0693       0.2362       0.3805      
165      0.2630         0.6952       0.0693       0.2410       0.3890      
166      0.2687         0.6984       0.0759       0.2723       0.4156      
167      0.2657         0.7041       0.0769       0.2647       0.4080      
168      0.2467         0.6995       0.0816       0.2571       0.4032      
169      0.2529         0.6972       0.0712       0.2562       0.3909      
170      0.2671         0.6967       0.0882       0.2723       0.4080      
171      0.2597         0.7062       0.0769       0.2391       0.4061      
172      0.2598         0.6983       0.0873       0.2543       0.4089      
173      0.2630         0.7085       0.0901       0.2609       0.4070      
174      0.2533         0.7023       0.0731       0.2676       0.4127      
175      0.2599         0.7006       0.0759       0.2505       0.3985      
176      0.2575         0.6927       0.0617       0.2467       0.4051      
177      0.2554         0.7033       0.0740       0.2524       0.4089      
178      0.2620         0.7079       0.0901       0.2647       0.4089      
179      0.2543         0.7081       0.0882       0.2571       0.4175      
180      0.2500         0.7053       0.0769       0.2713       0.4137      
181      0.2479         0.7205       0.0873       0.2770       0.4317      
182      0.2566         0.7199       0.0825       0.2638       0.4213      
183      0.2603         0.7124       0.0702       0.2571       0.4137      
184      0.2472         0.7254       0.0873       0.2827       0.4260      
185      0.2577         0.6955       0.0674       0.2685       0.4108      
186      0.2496         0.7150       0.1006       0.2751       0.4080      
187      0.2533         0.7006       0.0835       0.2742       0.4250      
188      0.2415         0.7059       0.0901       0.2742       0.4241      
189      0.2356         0.7052       0.0787       0.2856       0.4231      
190      0.2497         0.7061       0.0750       0.2723       0.4184      
191      0.2571         0.7109       0.0683       0.2827       0.4250      
192      0.2504         0.7098       0.0769       0.2875       0.4213      
193      0.2561         0.7130       0.0968       0.2808       0.4203      
194      0.2479         0.7029       0.0750       0.2666       0.3918      
195      0.2500         0.7166       0.0816       0.2941       0.4194      
196      0.2355         0.7008       0.0769       0.2875       0.4269      
197      0.2434         0.7151       0.0939       0.3112       0.4288      
198      0.2421         0.7100       0.0844       0.2894       0.4241      
199      0.2390         0.7071       0.0806       0.2970       0.4298      
200      0.2526         0.7119       0.0721       0.2865       0.4222      
201      0.2308         0.7047       0.0863       0.2846       0.4336      
202      0.2468         0.7077       0.0636       0.2837       0.4080      
203      0.2375         0.7030       0.0816       0.2894       0.4241      
204      0.2409         0.7121       0.0816       0.2770       0.4156      
205      0.2465         0.7039       0.0806       0.2638       0.4061      
206      0.2390         0.7115       0.0882       0.2808       0.4269      
207      0.2456         0.6963       0.0683       0.2628       0.4127      
208      0.2455         0.7008       0.0873       0.2713       0.4317      
209      0.2385         0.7183       0.0930       0.2922       0.4355      
210      0.2333         0.6996       0.0863       0.2856       0.4250      
211      0.2372         0.7115       0.0778       0.2837       0.4307      
212      0.2401         0.7074       0.0797       0.2903       0.4326      
213      0.2370         0.7196       0.0740       0.2903       0.4364      
214      0.2396         0.7062       0.0958       0.2827       0.4269      
215      0.2351         0.6996       0.0797       0.2856       0.4279      
216      0.2443         0.7230       0.0939       0.2932       0.4393      
217      0.2417         0.7052       0.0911       0.2903       0.4307      
218      0.2381         0.7137       0.1091       0.2884       0.4326      
219      0.2339         0.7136       0.1006       0.3055       0.4412      
220      0.2278         0.7050       0.0787       0.2894       0.4364      
221      0.2369         0.7119       0.0892       0.2875       0.4507      
222      0.2220         0.7121       0.0769       0.2998       0.4355      
223      0.2237         0.7124       0.0958       0.2960       0.4288      
224      0.2241         0.7043       0.0750       0.2989       0.4421      
225      0.2223         0.7174       0.0854       0.2932       0.4355      
226      0.2234         0.7093       0.0769       0.3046       0.4469      
227      0.2248         0.7213       0.0806       0.2913       0.4402      
228      0.2174         0.7089       0.0854       0.2789       0.4459      
229      0.2144         0.7112       0.0797       0.2780       0.4374      
230      0.2219         0.6934       0.0816       0.2818       0.4431      
231      0.2165         0.7106       0.0759       0.2875       0.4478      
232      0.2149         0.6909       0.0750       0.2694       0.4279      
233      0.2110         0.7234       0.0787       0.2989       0.4554      
234      0.2136         0.7227       0.0844       0.2827       0.4317      
235      0.2216         0.6953       0.0901       0.2827       0.4213      
236      0.2275         0.7034       0.0901       0.2865       0.4459      
237      0.2144         0.7208       0.0835       0.2827       0.4402      
238      0.2234         0.7044       0.0873       0.2676       0.4250      
239      0.2126         0.6972       0.1006       0.2875       0.4250      
240      0.2113         0.7075       0.0740       0.2960       0.4469      
241      0.2171         0.7066       0.0882       0.2837       0.4402      
242      0.2183         0.7052       0.0844       0.2951       0.4535      
243      0.2121         0.7152       0.0920       0.2932       0.4450      
244      0.2183         0.7032       0.0892       0.2780       0.4478      
245      0.2173         0.7030       0.0825       0.3074       0.4374      
246      0.2113         0.6993       0.0806       0.2894       0.4459      
247      0.2150         0.6948       0.0778       0.2960       0.4317      
248      0.2185         0.7240       0.1034       0.3027       0.4412      
249      0.2167         0.7011       0.0844       0.2989       0.4497      
250      0.2077         0.7078       0.1006       0.3046       0.4469      
251      0.2152         0.7013       0.0778       0.2913       0.4535      
252      0.2124         0.7102       0.0892       0.2979       0.4383      
253      0.2134         0.7090       0.0806       0.2941       0.4336      
254      0.2138         0.6992       0.0683       0.3046       0.4478      
255      0.2054         0.7120       0.1006       0.3065       0.4592      
256      0.2098         0.7076       0.0797       0.2989       0.4564      
257      0.2186         0.7004       0.1015       0.2922       0.4488      
258      0.2215         0.7113       0.0977       0.2979       0.4497      
259      0.2137         0.7109       0.0911       0.3074       0.4602      
260      0.2255         0.7129       0.0769       0.2837       0.4507      
261      0.2157         0.7104       0.0863       0.2808       0.4497      
262      0.2274         0.7212       0.0731       0.2960       0.4592      
263      0.2171         0.7174       0.0636       0.2808       0.4526      
264      0.2170         0.7050       0.0721       0.2770       0.4469      
265      0.2176         0.7123       0.0693       0.2903       0.4402      
266      0.2172         0.7146       0.0825       0.2922       0.4345      
267      0.2035         0.7181       0.0816       0.3036       0.4535      
268      0.1997         0.7049       0.0797       0.2951       0.4393      
269      0.2105         0.7012       0.0863       0.2818       0.4421      
270      0.2190         0.7158       0.0901       0.2894       0.4440      
271      0.2159         0.7173       0.0873       0.3055       0.4592      
