Cora Results - 2025-10-19 00:19:50
================================================================================

Relation-LoRA GIN + DistMult Training History
============================================================

Best Validation AUC: 0.7038
Total Epochs Trained: 300
Early Stopping Best Score: 0.3994 (epoch 257)

------------------------------------------------------------------------------------------
Epoch    Train Loss     Val AUC      Val H@1      Val H@5      Val H@10    
109      0.2845         0.6459       0.0569       0.1850       0.3027      
110      0.2739         0.6288       0.0493       0.1755       0.2903      
111      0.2782         0.6457       0.0512       0.1983       0.3083      
112      0.2822         0.6448       0.0512       0.1983       0.3036      
113      0.2725         0.6422       0.0493       0.2078       0.3102      
114      0.2861         0.6379       0.0560       0.2011       0.3159      
115      0.2777         0.6460       0.0579       0.2078       0.3093      
116      0.2780         0.6416       0.0598       0.1898       0.3235      
117      0.2767         0.6369       0.0598       0.1935       0.3083      
118      0.2819         0.6430       0.0598       0.2068       0.3273      
119      0.2803         0.6350       0.0712       0.2030       0.3178      
120      0.2713         0.6321       0.0588       0.1983       0.3178      
121      0.2748         0.6497       0.0588       0.2068       0.3226      
122      0.2714         0.6364       0.0550       0.1898       0.3245      
123      0.2753         0.6408       0.0579       0.1973       0.3207      
124      0.2780         0.6523       0.0683       0.1860       0.3159      
125      0.2661         0.6450       0.0512       0.1926       0.3112      
126      0.2689         0.6377       0.0579       0.2116       0.3121      
127      0.2740         0.6453       0.0607       0.1926       0.3065      
128      0.2779         0.6437       0.0626       0.2201       0.3378      
129      0.2632         0.6486       0.0531       0.2106       0.3283      
130      0.2629         0.6383       0.0664       0.2182       0.3292      
131      0.2708         0.6583       0.0674       0.2021       0.3387      
132      0.2683         0.6512       0.0617       0.2049       0.3349      
133      0.2637         0.6382       0.0588       0.1983       0.3264      
134      0.2741         0.6466       0.0579       0.2087       0.3321      
135      0.2676         0.6467       0.0560       0.2192       0.3463      
136      0.2688         0.6437       0.0455       0.1945       0.3207      
137      0.2680         0.6404       0.0446       0.1945       0.3245      
138      0.2575         0.6468       0.0503       0.2163       0.3444      
139      0.2647         0.6561       0.0579       0.2087       0.3463      
140      0.2708         0.6433       0.0598       0.2239       0.3558      
141      0.2621         0.6646       0.0550       0.2002       0.3567      
142      0.2652         0.6569       0.0636       0.2324       0.3444      
143      0.2624         0.6441       0.0579       0.2154       0.3757      
144      0.2610         0.6513       0.0484       0.2144       0.3624      
145      0.2579         0.6368       0.0560       0.2125       0.3378      
146      0.2602         0.6462       0.0645       0.2239       0.3577      
147      0.2580         0.6409       0.0664       0.2249       0.3691      
148      0.2536         0.6535       0.0645       0.2049       0.3387      
149      0.2509         0.6401       0.0588       0.2211       0.3454      
150      0.2446         0.6388       0.0531       0.2163       0.3359      
151      0.2496         0.6466       0.0579       0.1945       0.3425      
152      0.2600         0.6466       0.0541       0.1898       0.3359      
153      0.2564         0.6549       0.0664       0.2163       0.3558      
154      0.2495         0.6411       0.0617       0.2106       0.3586      
155      0.2466         0.6455       0.0721       0.2315       0.3615      
156      0.2475         0.6461       0.0645       0.2277       0.3653      
157      0.2490         0.6348       0.0598       0.2125       0.3491      
158      0.2431         0.6444       0.0655       0.2315       0.3444      
159      0.2417         0.6474       0.0626       0.2021       0.3444      
160      0.2359         0.6459       0.0712       0.2362       0.3558      
161      0.2375         0.6537       0.0683       0.2268       0.3539      
162      0.2349         0.6374       0.0617       0.2268       0.3501      
163      0.2375         0.6540       0.0512       0.2144       0.3529      
164      0.2287         0.6475       0.0674       0.2230       0.3472      
165      0.2314         0.6536       0.0598       0.2135       0.3482      
166      0.2337         0.6327       0.0569       0.2135       0.3359      
167      0.2358         0.6460       0.0569       0.2135       0.3529      
168      0.2326         0.6406       0.0579       0.2135       0.3567      
169      0.2229         0.6557       0.0693       0.2343       0.3501      
170      0.2237         0.6536       0.0645       0.2419       0.3596      
171      0.2323         0.6569       0.0712       0.2324       0.3577      
172      0.2230         0.6478       0.0550       0.2220       0.3529      
173      0.2228         0.6427       0.0702       0.2296       0.3558      
174      0.2224         0.6509       0.0740       0.2334       0.3482      
175      0.2153         0.6482       0.0636       0.2296       0.3482      
176      0.2239         0.6427       0.0550       0.2192       0.3567      
177      0.2171         0.6541       0.0664       0.2306       0.3643      
178      0.2221         0.6552       0.0702       0.2391       0.3653      
179      0.2127         0.6431       0.0750       0.2362       0.3624      
180      0.2178         0.6556       0.0683       0.2306       0.3662      
181      0.2107         0.6441       0.0655       0.2505       0.3729      
182      0.2133         0.6455       0.0693       0.2296       0.3710      
183      0.2035         0.6532       0.0645       0.2324       0.3833      
184      0.2074         0.6469       0.0626       0.2391       0.3662      
185      0.2070         0.6491       0.0721       0.2343       0.3691      
186      0.2162         0.6555       0.0693       0.2419       0.3605      
187      0.2145         0.6347       0.0721       0.2448       0.3558      
188      0.2171         0.6547       0.0655       0.2429       0.3729      
189      0.2132         0.6422       0.0740       0.2448       0.3643      
190      0.1985         0.6490       0.0645       0.2258       0.3662      
191      0.2140         0.6428       0.0740       0.2239       0.3577      
192      0.2102         0.6489       0.0702       0.2343       0.3596      
193      0.1964         0.6456       0.0731       0.2249       0.3539      
194      0.2033         0.6513       0.0712       0.2258       0.3463      
195      0.1962         0.6441       0.0655       0.2324       0.3482      
196      0.2014         0.6446       0.0769       0.2315       0.3558      
197      0.1959         0.6538       0.0712       0.2438       0.3843      
198      0.2021         0.6608       0.0750       0.2362       0.3672      
199      0.2050         0.6559       0.0750       0.2419       0.3757      
200      0.1947         0.6577       0.0626       0.2571       0.3719      
201      0.1946         0.6510       0.0797       0.2400       0.3662      
202      0.1996         0.6592       0.0759       0.2438       0.3700      
203      0.1979         0.6412       0.0683       0.2476       0.3710      
204      0.1952         0.6351       0.0854       0.2419       0.3605      
205      0.1994         0.6529       0.0702       0.2448       0.3748      
206      0.2052         0.6472       0.0712       0.2562       0.3691      
207      0.1954         0.6613       0.0939       0.2647       0.3918      
208      0.1981         0.6491       0.0873       0.2457       0.3691      
209      0.1958         0.6595       0.0911       0.2552       0.3899      
210      0.2008         0.6588       0.0825       0.2381       0.3767      
211      0.1940         0.6524       0.0844       0.2619       0.3928      
212      0.1939         0.6607       0.0778       0.2647       0.3871      
213      0.2008         0.6691       0.0844       0.2581       0.3814      
214      0.1938         0.6481       0.0816       0.2524       0.3596      
215      0.2005         0.6709       0.0787       0.2457       0.3928      
216      0.1891         0.6528       0.0939       0.2590       0.3795      
217      0.1927         0.6482       0.0721       0.2514       0.3890      
218      0.1919         0.6506       0.0825       0.2524       0.3786      
219      0.1848         0.6551       0.0911       0.2609       0.3681      
220      0.1866         0.6495       0.0996       0.2581       0.3890      
221      0.1904         0.6492       0.0769       0.2543       0.3681      
222      0.1826         0.6587       0.0930       0.2676       0.3843      
223      0.1834         0.6550       0.0996       0.2657       0.3786      
224      0.1894         0.6516       0.0901       0.2438       0.3947      
225      0.1915         0.6607       0.0835       0.2685       0.3852      
226      0.1807         0.6666       0.0844       0.2676       0.3985      
227      0.1844         0.6559       0.0816       0.2647       0.3899      
228      0.1821         0.6597       0.0825       0.2600       0.3956      
229      0.1857         0.6517       0.0892       0.2619       0.3956      
230      0.1842         0.6571       0.0769       0.2524       0.3757      
231      0.1920         0.6511       0.0930       0.2609       0.3805      
232      0.1879         0.6515       0.0816       0.2410       0.3786      
233      0.1864         0.6449       0.0806       0.2666       0.3710      
234      0.1762         0.6585       0.0968       0.2676       0.3795      
235      0.1795         0.6643       0.0930       0.2694       0.3947      
236      0.1867         0.6521       0.0825       0.2638       0.3852      
237      0.1777         0.6629       0.0882       0.2562       0.3786      
238      0.1791         0.6656       0.0892       0.2704       0.3738      
239      0.1755         0.6599       0.0740       0.2581       0.3748      
240      0.1904         0.6579       0.0769       0.2524       0.3767      
241      0.1830         0.6496       0.0825       0.2694       0.3824      
242      0.1821         0.6447       0.0740       0.2619       0.3748      
243      0.1790         0.6502       0.0825       0.2590       0.3890      
244      0.1823         0.6589       0.0759       0.2562       0.3899      
245      0.1768         0.6606       0.0854       0.2533       0.3814      
246      0.1814         0.6596       0.0854       0.2533       0.3767      
247      0.1882         0.6747       0.0759       0.2628       0.3843      
248      0.1853         0.6600       0.0939       0.2581       0.3843      
249      0.1851         0.6429       0.0835       0.2657       0.3729      
250      0.1869         0.6567       0.0949       0.2619       0.3672      
251      0.1822         0.6542       0.0844       0.2732       0.3899      
252      0.1757         0.6506       0.0835       0.2495       0.3672      
253      0.1758         0.6605       0.0911       0.2438       0.3681      
254      0.1814         0.6580       0.0958       0.2628       0.3738      
255      0.1725         0.6584       0.0816       0.2638       0.3909      
256      0.1840         0.6533       0.0901       0.2685       0.3909      
257      0.1894         0.6693       0.0882       0.2676       0.3994      
258      0.1777         0.6464       0.0731       0.2723       0.3880      
259      0.1728         0.6641       0.0863       0.2552       0.3814      
260      0.1761         0.6560       0.0787       0.2723       0.3843      
261      0.1890         0.6644       0.0835       0.2704       0.3975      
262      0.1795         0.6603       0.0863       0.2742       0.3928      
263      0.1776         0.6629       0.0844       0.2742       0.3909      
264      0.1796         0.6628       0.0882       0.2685       0.3843      
265      0.1809         0.6500       0.0920       0.2476       0.3767      
266      0.1749         0.6700       0.0901       0.2713       0.3937      
267      0.1789         0.6670       0.1044       0.2638       0.3767      
268      0.1776         0.6662       0.0835       0.2685       0.3937      
269      0.1699         0.6544       0.0939       0.2723       0.3899      
270      0.1677         0.6618       0.0930       0.2638       0.3824      
271      0.1719         0.6633       0.0854       0.2638       0.3880      
272      0.1753         0.6633       0.0987       0.2657       0.3833      
273      0.1728         0.6600       0.0863       0.2657       0.3767      
274      0.1729         0.6524       0.0892       0.2619       0.3634      
275      0.1650         0.6612       0.0892       0.2609       0.3852      
276      0.1703         0.6753       0.0806       0.2751       0.3918      
277      0.1804         0.6664       0.0996       0.2742       0.3947      
278      0.1812         0.6596       0.0825       0.2732       0.3956      
279      0.1660         0.6614       0.0949       0.2619       0.3786      
280      0.1680         0.6574       0.0920       0.2685       0.3871      
281      0.1723         0.6624       0.0949       0.2600       0.3833      
282      0.1731         0.6570       0.0930       0.2638       0.3871      
283      0.1713         0.6655       0.1034       0.2676       0.3880      
